日期,站点名称,所属渠道商,渠道名称,用户类型,首存用户数,累计1天,3天,7天,15天,30天,60天,90天,120天,150天,180天,210天,240天,270天,300天,330天,360天,环比系数
2026-04-10,电子站-炫紫,,本站,全部,1,0.5600,71.7600,71.7600,,,,,,,,,,,,,,
2026-04-10,电子站-炫紫,,本站,非TOP3,1,0.5600,71.7600,71.7600,,,,,,,,,,,,,,
2026-04-12,电子站-炫紫,,本站,全部,2,248.0100,245.0100,245.0100,,,,,,,,,,,,,,
2026-04-12,电子站-炫紫,,本站,非TOP3,2,248.0100,245.0100,245.0100,,,,,,,,,,,,,,
2026-04-13,电子站-炫紫,,本站,全部,5,2524.3600,2524.3600,2524.3600,,,,,,,,,,,,,,
2026-04-13,电子站-炫紫,,本站,TOP3,1,2480.0000,2480.0000,2480.0000,,,,,,,,,,,,,,
2026-04-13,电子站-炫紫,,本站,非TOP3,4,44.3600,44.3600,44.3600,,,,,,,,,,,,,,
2026-04-14,电子站-炫紫,,本站,全部,3,1209.0000,1169.0000,1169.0000,,,,,,,,,,,,,,
2026-04-14,电子站-炫紫,,本站,非TOP3,3,1209.0000,1169.0000,1169.0000,,,,,,,,,,,,,,
2026-04-15,电子站-炫紫,,本站,全部,6,1318.2000,1776.4200,1776.4200,,,,,,,,,,,,,,
2026-04-15,电子站-炫紫,,本站,TOP3,1,1090.0000,1090.0000,1090.0000,,,,,,,,,,,,,,
2026-04-15,电子站-炫紫,,本站,非TOP3,5,228.2000,686.4200,686.4200,,,,,,,,,,,,,,
2026-04-16,电子站-炫紫,,本站,全部,3,-600.0000,-501.0000,-501.0000,,,,,,,,,,,,,,
2026-04-16,电子站-炫紫,,本站,TOP3,1,-600.0000,-501.0000,-501.0000,,,,,,,,,,,,,,
2026-04-16,电子站-炫紫,,本站,非TOP3,2,0.0000,0.0000,0.0000,,,,,,,,,,,,,,
