test_id,excel_sheet,覆盖缺口,推荐问题,前置条件,预期结果,当前状态
FC01,综合日报表,投放金额/PV/UV/下载点击UV补齐后实际并表,"统计租户平台990001下渠道990011在2026-04-01到2026-04-06的渠道日报，并补充投放金额、PV、UV、下载点击UV、UV下载率、UV注册率和首存成本",用户按日期+渠道补充外部指标,"并入外部字段；UV下载率=下载点击UV/访问UV；UV注册率=注册人数/访问UV；首存成本=投放金额/首存人数",待补产品能力/自动化
FC02,综合日报表,全平台/渠道商/多渠道汇总与汇总行,"按渠道商和渠道汇总租户平台990001在2026-04-01到2026-04-07的综合日报指标，并输出汇总行",T01支持channel可选或新增聚合模板,"金额相加；人数按口径去重；比率按汇总分子分母重算",待补模板
FC03,ROI回收表,投放金额补齐后ROI实算,"统计租户平台990001下渠道990011在2026-04-01到2026-04-03首存cohort从D1到D7的ROI，投放金额如下：2026-04-01=1000，2026-04-02=2000，2026-04-03=500",用户补充cohort投放金额,"ROI=cumulative_channel_revenue/ad_spend；同时输出累计收入",待补产品能力/自动化
FC04,ROI回收表,D15/D30/D60/D90+长周期,"统计租户平台990001下渠道990011在2026-04-01到2026-04-03首存cohort的D1、D3、D7、D15、D30、D60、D90、D180、D360累计渠道收入和ROI",模板支持长周期horizon,"返回所有周期；无新增行为时累计值保持",待补模板/seed
FC05,ROI回收表/投充比与杀率,VIP最高等级分层,"统计租户平台990001下渠道990011在2026-04-01到2026-04-07按统计区间内最高VIP等级分层的存款、有效投注、输赢、杀率和投充比",新增VIP日模型或区间最高VIP模型,"按区间最高VIP归类；命中R06",待补SQL模型
FC06,ROI回收表/投充比与杀率,TOP5/非TOP5,"统计租户平台990001下渠道990011在2026-04-15到2026-04-26的TOP5和非TOP5用户存款、有效投注、输赢、投充比和杀率",高频seed保证用户数>5,"top_n=5；TOP5+非TOP5=ALL",待补自动化
FC07,首存及续存率,汇总行和环比,"按日输出租户平台990001渠道990011在2026-04-01到2026-04-07的首存及2到6存人数、率、均额，并输出汇总行和环比",T08增强汇总/环比,"汇总比例按汇总分子分母重算；环比=(本期-上期)/上期",待补模板/展示
FC08,投充比与杀率,长周期日龄矩阵+所有用户摘要,"输出租户平台990001渠道990011首存用户从D1到D30的每日杀率和投充比趋势，并同时输出所有用户区间汇总",T10支持n_days=30并可拼接T09摘要,"首存用户和所有用户口径分开；空窗日比例为空",待补自动化
FC09,游戏类型流水分布,Excel全游戏类型枚举,"统计租户平台990001渠道990011在2026-04-15到2026-04-26按所有游戏类型的有效投注、下注次数、均注、输赢、杀率和投注占比",补齐全游戏类型seed,"合计有效投注等于各类型之和；投注占比按合计有效投注计算",待补seed
FC10,游戏类型流水分布,TOP5游戏类型分层,"统计租户平台990001渠道990011在2026-04-15到2026-04-26 TOP5和非TOP5用户按游戏类型的流水分布",T12支持top_n=5且seed足够,"先定TOP5用户，再按分层内游戏类型聚合",待补自动化/seed
FC11,首存金额分布与占比,所有首存金额桶位,"按首存金额固定档位输出租户平台990001渠道990011在2026-04-01到2026-04-30的首存人数与占比，包含10、20、30、50、100、200、300、400、500、1000、2000、2000以上和其他",补齐全桶位seed并定义空桶策略,"所有桶位占比合计为1；2000和2000以上不混淆",待补seed/模板小修
FC12,全局图表,新增全覆盖用例图表生成,"对FC01、FC03、FC04、FC06、FC09、FC11分别生成图表",FC01-FC11可问数返回preview,"chart status=FINISHED；图表数据与preview一致",待补自动化
