test_id,full_ref,excel_sheet,degraded_result,omitted_or_not_calculable,recommended_question,save_as_data_table_name,pass_criteria,full_coverage_note
FT01-D,FT01,综合日报表,综合日报内部指标表,投放金额、访问PV、访问UV、下载点击UV、UV下载率、UV注册率、首存成本,统计租户平台990001下渠道990011在2026-04-01到2026-04-06的综合日报，暂时不用外部数据，只展示系统内可查询的原始指标，去掉投放金额、PV、UV、下载点击UV及其派生率和首存成本,FT01-D_综合日报内部指标表,SQL可执行；包含日期/渠道/注册/登录/存款/提现/首存/投注/输赢/优惠等内部指标；可保存数据表,不计入FT01-FULL同形覆盖
FT02-D,FT02,ROI回收表,渠道整体累计收入表，替代ROI表,投放金额、ROI、回本率、首存成本,统计租户平台990001下渠道990011首存 cohort 的渠道累计收入，暂时不用投放金额，不计算 ROI，只输出累计收入和可查询的首存 cohort 指标,FT02-D_渠道累计收入替代ROI表,不被投放金额阻断；不输出ROI；累计收入SQL可执行并可保存,不计入FT02-FULL同形覆盖
FT03-D,FT03,ROI回收表,渠道累计收入宽表/长表阶段性结果,无外部指标；若无法宽表，先接受长表并记录展示缺口,统计租户平台990001下渠道990011首存 cohort 的 D1、D3、D7、D15、D30、D60、D90、D180、D360 渠道累计收入，暂时只用内部数据,FT03-D_渠道累计收入内部指标表,不被投放金额阻断；收入口径正确；可保存；若不是宽表需标注展示层待补,不计入FT03-FULL同形覆盖
FT04-D,FT04,ROI回收表,TOP3累计收入表，替代TOP3 ROI表,投放金额、ROI、回本率、首存成本,统计租户平台990001下渠道990011首存用户 TOP3 与非TOP3 分层的累计收入，暂时不用投放金额，不计算 ROI,FT04-D_TOP3累计收入替代ROI表,TOP3/非TOP3分层可查询；不输出ROI；可保存,不计入FT04-FULL同形覆盖
FT05-D,FT05,ROI回收表,TOP3累计收入内部指标表,无外部指标；若无法宽表，先接受长表并记录展示缺口,统计租户平台990001下渠道990011首存用户 TOP3 与非TOP3 分层的 D1、D3、D7、D15、D30、D60、D90、D180、D360 累计收入，暂时只用内部数据,FT05-D_TOP3累计收入内部指标表,不被投放金额阻断；分层与累计收入口径正确；可保存,不计入FT05-FULL同形覆盖
FT06-D,FT06,首存及续存率,首存及2~6存率内部指标表,外部投放/流量字段不参与；保留首存、2~6存人数/率/均额,统计租户平台990001下渠道990011在2026-04-01到2026-04-07的首存及二存到六存情况，只用内部数据，输出人数、比例和均额,FT06-D_首存及续存率内部指标表,首存/续存SQL可执行；结果可预览可保存；复杂环比缺失需记录,不计入FT06-FULL同形覆盖
FT07-D,FT07,投充比与杀率,首存用户杀率趋势内部指标表,无外部指标；若无法宽表，先接受day_label长表并记录展示缺口,统计租户平台990001下渠道990011首存 cohort 的首日到第7日杀率趋势，只用内部数据,FT07-D_首存用户杀率趋势内部指标表,杀率=输赢/有效投注；可执行可保存,不计入FT07-FULL同形覆盖
FT08-D,FT08,投充比与杀率,首存用户投充比趋势内部指标表,无外部指标；若无法宽表，先接受day_label长表并记录展示缺口,统计租户平台990001下渠道990011首存 cohort 的首日到第7日投充比趋势，只用内部数据,FT08-D_首存用户投充比趋势内部指标表,投充比口径正确；可执行可保存,不计入FT08-FULL同形覆盖
FT09-D,FT09,投充比与杀率,所有用户杀率投充比内部指标表,不额外要求VIP全枚举；先覆盖ALL/TOPN/非TOPN,统计租户平台990001下渠道990011在2026-04-01到2026-04-07所有用户、TOP3 和非TOP3 的杀率和投充比，只用内部数据,FT09-D_所有用户杀率投充比内部指标表,ALL/TOPN/非TOPN口径正确；可执行可保存；VIP缺口单独记录,不计入FT09-FULL同形覆盖
FT10-D,FT10,游戏类型流水分布,游戏类型流水分布内部指标表,若无法透视宽表，先接受游戏类型长表并记录展示缺口,统计租户平台990001下渠道990011在2026-04-01到2026-04-07所有用户、TOP3 和非TOP3 按游戏类型的有效投注、下注次数、输赢、杀率和投注占比,FT10-D_游戏类型流水分布内部指标表,游戏类型分组和指标正确；可执行可保存；宽表透视缺口单独记录,不计入FT10-FULL同形覆盖
FT11-D,FT11,首存金额分布与占比,首存金额分布内部指标表,若无法固定金额桶宽表，先接受bucket长表并记录展示缺口,统计租户平台990001下渠道990011在2026-04-01到2026-04-07的首存金额分布和占比，只用内部数据,FT11-D_首存金额分布内部指标表,分桶和占比口径正确；可执行可保存；固定宽表缺口单独记录,不计入FT11-FULL同形覆盖
