step_no,template_id,动作,关键检查点,是否通过(手工填写)
1,T02,先核渠道和折扣,1867 has_percent_config=1; 1760 has_percent_config=0
2,T01,核日报基础汇总,04-10充值100; 04-13充值1100/有效投注7920.2; 04-16充值1000/彩票60
3,T03,核首存cohort名单,共20行; 04-10玩家4543498; 04-13玩家4543588首存500
4,T08,核2~6存,汇总全部用户首存20、二存5、三存2、四存2；非TOP3首存20
5,T10,核日龄趋势,汇总全部首日杀率1.688032；04-15非TOP3二日投充比4.000000
6,T04,核累计收入方向,04-10累计7天71.7600；04-13 TOP3累计7天2480；04-15非TOP3累计7天686.42
7,T06,核TOP3边界,TOP3=4543567/4543571/4543569；ranked_user_count=30
8,T09,核区间汇总,ALL充值4300投注16225.2；TOP3投注4613；NON_TOP3投注11612.2
9,T11,核游戏类型分布,电子-老虎机11712 > 捕鱼2202 > 电子棋牌1295.2 > 电子-街机1016
10,T12,核分层游戏类型,TOP3有效投注4613；非TOP3有效投注11612.2；合计=16225.2
11,T13,核首存分桶,汇总20人；100元=11；200元=7；500元=2
12,COMMON,核异常点,不再默认依赖990001/990011 fixture；T02 单独用真实配置渠道1867和对照渠道1760
13,FT-DEGRADED,先跑Excel示例表格降级版,FT01-D~FT11-D内部指标可查询、可预览、可保存；不编造外部指标；不计入FULL覆盖
14,FT-FULL,再跑Excel示例表格FULL版,FT01-FULL~FT11-FULL必须经validate_excel_full_coverage.py严格校验；BLOCKED_EXTERNAL/SHAPE_GAP/NOT_RUN不得计入FULL PASS
15,FT-FULL-STRICT,运行FULL同形严格校验和P2泛化变体清单检查,11张FT全部FULL_PASS才可声明原始Excel完全覆盖；17号CSV每张FT至少3条泛化变体
